order_line_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,postal_code,sales,quantity,discount,profit,customer_name,segment,city,state,region,category,sub_category
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,TEC-AC-10003027,90049,90.57,3,0.0,11.77,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,19140,3083.43,7,0.5,-1665.05,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10000474,19140,9.62,2,0.7,-7.05,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,19140,124.2,3,0.2,15.53,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,19140,124.2,3,0.2,15.53,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-EN-10001509,19140,3.26,2,0.2,1.1,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10004042,19140,86.3,6,0.2,9.71,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10001525,19140,6.86,6,0.7,-5.72,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10001683,19140,15.76,2,0.2,3.55,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,77095,29.47,3,0.2,9.95,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,75080,1097.54,7,0.2,123.47,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,FUR-FU-10003664,75080,190.92,5,0.6,-147.96,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,77041,113.33,9,0.2,35.42,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-BO-10002545,77041,532.4,3,0.32,-46.98,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-CH-10004218,77041,212.06,3,0.3,-15.15,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,TEC-PH-10000486,77041,371.17,4,0.2,41.76,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,TEC-PH-10004093,60540,147.17,4,0.2,16.56,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,OFF-ST-10003479,90049,77.88,2,0.0,3.89,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,OFF-ST-10003282,32935,95.62,2,0.2,9.56,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,TEC-AC-10000171,55122,45.98,2,0.0,19.77,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,OFF-BI-10003291,55122,17.46,2,0.0,8.21,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,OFF-ST-10001713,48185,211.96,4,0.0,8.48,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-AC-10002167,19901,45.0,3,0.0,4.95,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-PH-10003988,19901,21.8,2,0.0,6.1,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-BI-10004410,47150,38.22,6,0.0,17.96,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-LA-10002762,47150,75.18,6,0.0,35.33,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-FU-10001706,47150,6.16,2,0.0,2.96,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-CH-10003061,47150,89.99,1,0.0,17.1,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,OFF-FA-10000304,10024,15.26,7,0.0,6.26,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,TEC-PH-10002447,10024,1029.95,5,0.0,298.69,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-ST-10000604,12180,208.56,6,0.0,52.14,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10001569,12180,32.4,5,0.0,15.55,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,FUR-CH-10003968,12180,319.41,5,0.1,7.1,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10000587,12180,14.56,2,0.0,6.99,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,TEC-AC-10002167,12180,30.0,2,0.0,3.3,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-BI-10001460,12180,48.48,4,0.2,16.36,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-AR-10001868,12180,1.68,1,0.0,0.84,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,TEC-AC-10004633,90004,13.98,2,0.0,6.15,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-BI-10001078,90004,25.82,6,0.2,9.36,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-PA-10003892,90004,146.73,3,0.0,68.96,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,FUR-FU-10000397,90004,79.76,4,0.0,22.33,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,FUR-CH-10001146,60610,213.12,5,0.3,-15.22,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,FUR-CH-10001146,60610,213.12,5,0.3,-15.22,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,OFF-AR-10002671,85234,1113.02,8,0.2,111.3,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,TEC-PH-10002726,85234,167.97,4,0.2,62.99,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,OFF-PA-10000482,22153,75.88,2,0.0,35.66,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,10009,4.62,1,0.2,1.73,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,10009,4.62,1,0.2,1.73,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,OFF-PA-10004675,49201,19.05,3,0.0,8.76,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-CH-10000513,38109,831.94,8,0.2,-114.39,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-FU-10003708,38109,97.04,2,0.2,1.21,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,OFF-ST-10004123,38109,72.78,1,0.2,-18.2,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-BI-10004182,77041,1.25,3,0.8,-1.93,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,FUR-FU-10000260,77041,9.71,3,0.6,-5.82,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-ST-10000615,77041,27.24,3,0.2,2.72,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,FUR-FU-10003194,77070,19.3,5,0.6,-14.48,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-AP-10002118,35601,208.16,1,0.0,56.2,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-BI-10002309,35601,16.74,3,0.0,8.04,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-AR-10002053,94122,14.9,5,0.0,4.17,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-ST-10002370,94122,21.39,1,0.0,6.2,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,OFF-EN-10000927,27707,200.98,7,0.2,62.81,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,OFF-ST-10003656,60623,230.38,3,0.2,-48.95,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,FUR-CH-10000863,29203,301.96,2,0.0,33.22,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,TEC-AC-10001998,55901,19.99,1,0.0,6.8,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,OFF-LA-10000134,55901,6.16,2,0.0,2.96,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,OFF-ST-10003442,77095,158.37,7,0.2,13.86,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-AR-10004930,90036,20.1,3,0.0,6.63,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,TEC-PH-10004093,90036,73.58,2,0.2,8.28,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-PA-10000304,90036,6.48,1,0.0,3.11,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-PA-10003177,55407,12.96,2,0.0,6.22,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,FUR-FU-10003799,55407,53.34,3,0.0,16.54,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-BI-10002852,55407,32.96,2,0.0,16.15,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,OFF-BI-10004738,97206,5.68,1,0.7,-3.79,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,FUR-FU-10000629,10009,96.53,7,0.0,40.54,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,OFF-BI-10001721,94122,51.31,3,0.2,17.96,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,OFF-AP-10000358,55106,77.88,6,0.0,22.59,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-PA-10003256,60610,64.62,7,0.2,22.62,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Paper
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,TEC-AC-10001767,60610,95.98,3,0.2,-10.8,Rick Bensley,Home Office,Chicago,Illinois,Central,Technology,Accessories
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-BI-10002609,60610,1.79,3,0.8,-3.04,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Binders
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,OFF-PA-10004040,55901,23.92,4,0.0,11.72,Gary Zandusky,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,TEC-AC-10001552,80013,238.9,6,0.2,-26.88,Lena Cacioppo,Consumer,Aurora,Colorado,West,Technology,Accessories
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,FUR-FU-10004006,80013,102.36,3,0.2,-3.84,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,OFF-BI-10002794,80013,36.88,3,0.7,-25.82,Lena Cacioppo,Consumer,Aurora,Colorado,West,Office Supplies,Binders
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-AC-10003499,28205,74.11,8,0.2,17.6,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Accessories
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-PH-10002844,28205,27.99,1,0.2,2.1,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Phones
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,OFF-AR-10000390,28205,3.3,1,0.2,1.07,Janet Martin,Consumer,Charlotte,North Carolina,South,Office Supplies,Art
110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,TEC-AC-10000844,60462,339.96,5,0.2,67.99,Pete Armstrong,Home Office,Orland Park,Illinois,Central,Technology,Accessories
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,FUR-FU-10001934,10035,41.96,2,0.0,10.91,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-AR-10000380,50322,75.96,2,0.0,22.79,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Art
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-BI-10003981,50322,27.24,6,0.0,13.35,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders
114,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-FA-10000621,43229,40.1,14,0.2,14.53,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners
115,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-EN-10002600,43229,4.72,2,0.2,1.65,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes
116,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-PA-10004965,43229,23.98,3,0.2,7.49,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Paper
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-EN-10002504,43229,130.46,6,0.2,44.03,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes
118,CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,FUR-TA-10001768,98103,787.53,3,0.0,165.38,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables
119,US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,OFF-BI-10003650,37620,157.79,1,0.7,-115.72,Greg Guthrie,Corporate,Bristol,Tennessee,South,Office Supplies,Binders
120,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,FUR-FU-10002157,19805,47.04,3,0.0,18.35,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings
121,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-BI-10003910,19805,30.84,4,0.0,13.88,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Binders
122,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-ST-10000777,19805,226.56,6,0.0,63.44,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Storage
123,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-EN-10002500,19805,115.02,9,0.0,51.76,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes
124,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,TEC-PH-10003875,19805,68.04,7,0.0,19.73,Steven Cartwright,Consumer,Wilmington,Delaware,East,Technology,Phones
125,US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,FUR-CH-10004063,77041,600.56,3,0.3,-8.58,Alan Dominguez,Home Office,Houston,Texas,Central,Furniture,Chairs
126,US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,FUR-TA-10004534,61701,617.7,6,0.5,-407.68,Philip Fox,Consumer,Bloomington,Illinois,Central,Furniture,Tables
127,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,OFF-BI-10003274,85023,2.39,2,0.7,-1.83,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Binders
128,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,OFF-ST-10002974,85023,243.99,7,0.2,30.5,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Storage
129,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,FUR-CH-10001146,90004,81.42,2,0.2,-9.16,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs
129,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,FUR-CH-10001146,90004,81.42,2,0.2,-9.16,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs
130,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,FUR-FU-10003773,90004,238.56,3,0.0,26.24,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Furnishings
131,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,TEC-PH-10002293,43229,59.97,5,0.4,-11.99,Dorothy Wardle,Corporate,Columbus,Ohio,East,Technology,Phones
132,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,OFF-PA-10002377,43229,78.3,2,0.2,29.36,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Paper
132,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,OFF-PA-10002377,43229,78.3,2,0.2,29.36,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Paper
